tap_num,brewery,name,style,country,abv,image_url,description,price_small,price_big
1,"3bir","Akira","IPA - Red",Serbia,6.3,"https://assets.untappd.com/site/beer_logos_hd/beer-2667416_af93f_hd.jpeg","Red IPA rich in tropical fruit and mango aromas. Tropical wave goes towards well liked American Hops, giving it a sweet and bitter sensation.",420,450
2,"Mehanika","Milfshake 2","Sour - Fruited",Serbia,4.3,"https://assets.untappd.com/site/beer_logos_hd/beer-6438619_4183f_hd.jpeg","A sour beer with a primary strawberry note supported by sour cherry, raspberry and vanilla. The full body of the beer will create the effect of eating a fruit cake. The product contains lactose",430,450
3,"Salto Pivo","Salto Stout","Stout - Oatmeal",Serbia,5.5,"https://assets.untappd.com/site/beer_logos_hd/beer-4174939_5daf2_hd.jpeg","Expect a burst of subtle milk chocolate, hazelnut and coffee flavours which melt away into a smooth and long lasting aftertaste.",400,450
4,"Tron Brewery","Coco Taino","IPA - White / Wheat",Serbia,6.0,"https://assets.untappd.com/site/beer_logos_hd/beer-6110672_994d3_hd.jpeg","White IPA with Coconut and Vanilla is inspired by the Taino Indians, who made coconut a large part of their diet.",500,550
5,"Dogma Brewery",Hoptopod,"IPA - American",Serbia,6.5,"https://assets.untappd.com/site/beer_logos_hd/beer-1561273_e7c00_hd.jpeg","Hoptopod is a real hoppy monster which was brought up in fermenter for five weeks.",430,450
6,"Dogma Brewery","1019 IS NOW DOLCITA","Pale Ale - New England / Hazy",Serbia,5.1,"https://assets.untappd.com/site/beer_logos_hd/beer-6523974_dc815_hd.jpeg","This juicy pale ale is a younger brother of Dogma's 1019 NEIPA. What do you think? True or false?",590,650
8,"Hedon","Hedon IPA","IPA - American",Serbia,6.3,"https://assets.untappd.com/site/beer_logos_hd/beer-6361216_1528b_hd.jpeg","IPA carefully crafted to provide the perfect balance between rich malt notes and an intense, refreshing hop aroma.",330,370
9,"Klosterbrauerei Andechs","Andechser Hell","Lager - Helles",Germany,4.8,"","Clean tasting with a great malt profile. A pleasant sweetness and gentle carbonation.",400,450
10,"Ravangrad","Ernest","Pilsner - Czech / Bohemian",Serbia,4.5,"https://assets.untappd.com/site/beer_logos_hd/beer-4367004_27208_hd.jpeg","Ernest Bošnjak is the first Yugoslav director, cinematographer, producer and one of the founders of our cinematography who is known for his openness to new ideas, ventures, and we will assume also tastes!",400,430
11,"Ārpus Brewing Co.","Red & Black Currant Berliner Weisse","Sour - Fruited Berliner Weisse",Latvia,6.0,"https://assets.untappd.com/site/beer_logos_hd/beer-6349700_93514_hd.jpeg","Arpus Brewing has created a great fruity experience with this new Berliner Weiße. The sour beer was brewed with red and black currants.",1100,1350
12,"Omnipollo","Noa Pecan Mud Cake Stout","Stout - Imperial / Double Pastry",Sweden,11.0,"https://assets.untappd.com/site/beer_logos_hd/beer-1046298_21146_hd.jpeg","Thick, rich and excessively decadent, this beer aims to bring back childhood memories.",1100,1480
13,"Omnipollo","Omnipollos Hatt IPA","IPA - New England / Hazy",Sweden,6.2,"https://assets.untappd.com/site/beer_logos_hd/beer-5111545_b4df8_hd.jpeg","IPA with Nelson, Motueka and Citra",860,900
14,"Omnipollo","Zodiak","IPA - New England / Hazy",Sweden,6.2,"https://assets.untappd.com/site/beer_logos_hd/beer-852701_bdc07_hd.jpeg","Blend of grains, untouched post fermentation and aspiringly hopped with Simcoe, Citra and Centennial.",760,810
15,"CoolHead Brew","Cranberry Fudgesicle","Sour - Smoothie / Pastry",Finland,7.0,"https://assets.untappd.com/site/beer_logos_hd/beer-4876839_2c615_hd.jpeg","This one is filled with toffee and cranberries for the perfect balance of sweet and sour. Think liquid toffee pudding mixed with freshly squeezed grandma’s cranberry juice.",1100,1280
16,"Sudden Death Brewing Co.","Slick Flick","IPA - Fruited",Germany,6.5,"https://assets.untappd.com/site/beer_logos_hd/beer-6358257_91e12_hd.jpeg","DDH Hazy IPA w/ mango",1100,1300
